"ID" "order" "style" "style2" "style3" "spp" "time" "mtGenome" "nucOXPHOS" "nucOXPHOS2" "nucOXPHOSN2" "nucMTRP" "nucCRP" "controlSingle" "control" "mtOXPHOS_rate" "nucOXPHOS_rate" "nucOXPHOS2_rate" "nucOXPHOSN2_rate" "nucMTRP_rate" "nucCRP_rate" "controlSingle_rate" "control_rate"
"1" 63 "Diptera" "D" "Diploids" "D" "AAEGY" 83.961536 0.0165643540384514 0.0472381487065011 0.0188614006413098 0.0507983426814362 0.0600193490431307 0.0471696873976792 0.0560940382556426 0.0734414441107882 0.000197285028688034 0.000562616537964493 0.000224643349084393 0.000605019215959034 0.000714843390229673 0.000561801149012796 0.000668092092260468 0.000874703436949846
"2" 65 "Diptera" "D" "Diploids" "D" "AALBI" 88.441279 0.0153249828166371 0.0402293522373176 0.0230310161352108 0.0395488761974445 0.065128753201873 0.0645138398141315 0.0646673035257565 0.0817437906340555 0.000173278620457729 0.000454870765011411 0.00026041025633755 0.000447176665066598 0.000736406731543005 0.000729453944397746 0.000731189148969188 0.000924271918705014
"3" 39 "Hymenoptera" "HD" "Hymenoptera" "HD" "ACEPH" 9.937519 0.110147094945895 0.0788673504612846 0.0259889941666655 0.0587079095881242 0.0394367351516194 0.00584066104126191 0.0141411729906359 0.0267833462625724 0.0110839632050912 0.0079363219794885 0.00261523969580994 0.0059077028771592 0.00396846890573184 0.000587738352124098 0.0014230083978341 0.00269517434508275
"4" 40 "Hymenoptera" "HD" "Hymenoptera" "HD" "AECHI" 9.937519 0.159009518291466 0.07294884347184 0.138975869073623 0.0631649335035906 0.0487238051838317 0.0315951054330994 0.0116694608535136 0.0222410827065454 0.0160009272225257 0.00734075008780763 0.0139849663757748 0.00635620757088269 0.00490301504669643 0.00317937559999628 0.00117428312373678 0.00223809209386623
"5" 47 "Hymenoptera" "HD" "Hymenoptera" "HD" "AFLOR" 8.103582 0.0743120760152223 0.0221701409566687 0.0402892770670353 0.0429566824411133 0.0511489932930985 0.0143407625764349 0.0124553090291385 0.02182864243558 0.00917027507282857 0.00273584458782162 0.00497178618875397 0.00530094993067428 0.00631189926789147 0.00176968192293666 0.00153701277152974 0.00269370291256138
"6" 67 "Diptera" "D" "Diploids" "D" "AFUNE" 39.856741 0.0158955434570231 0.0450833407919624 0.0113794732702017 0.0264239921574481 0.0363208438136252 0.0313083194900448 0.0356259769512044 0.0419797643921361 0.000398816939323341 0.00113113465027064 0.00028550937644906 0.000662974229565034 0.00091128483921014 0.000785521312192705 0.000893850727815513 0.00105326635692908
"7" 66 "Diptera" "D" "Diploids" "D" "AGAMB" 39.856741 0.00565460992817923 0.0298129243991833 0.00921281000767941 0.0179628334585294 0.0346507570664943 0.032968662202546 0.0241238548180338 0.0437958741858854 0.000141873364111211 0.000748002060659784 0.000231148101338226 0.000450684953356558 0.000869382598705055 0.000827179076245747 0.00060526410872464 0.00109883229504102
"8" 55 "Coleoptera" "D" "Diploids" "D" "AGLAB" 104.531206 0.152706750216443 0.12959085659905 0.166062859455323 0.115601562258727 0.129330139532506 0.0573027859544737 0.0898253463244385 0.106461766006268 0.0014608723658698 0.00123973367913741 0.00158864386827531 0.00110590479802488 0.00123723952378877 0.000548188317606072 0.000859316081404806 0.00101846874325996
"9" 46 "Hymenoptera" "HD" "Hymenoptera" "HD" "AMELL" 8.103582 0.0851796847200182 0.0312541217432501 0.283238349670113 0.0377684951950778 0.0531094144416197 0.00329011170573834 0.0106417565226241 0.0201353628967441 0.0105113621013545 0.00385682797351222 0.0349522408325248 0.00466071611234116 0.00655381958763664 0.000406007084982708 0.00131321636809797 0.00248474846021723
"10" 20 "Hemiptera" "D" "Diploids" "D" "APISU" 306.647247 0.729410821849961 0.381170748211614 0.392368606501544 0.383580538029807 0.341699767767984 0.236919898588121 0.456209480185874 0.467622472917983 0.00237866417841984 0.00124302680666693 0.00127954387440349 0.00125088531458366 0.00111430893676989 0.000772613812470069 0.00148773382004592 0.00152495245756432
