gene	spp	sumOfgenes
EOG8003Z0	76	110
EOG8003Z1	70	90
EOG8003Z2	10	22
EOG8003Z3	47	49
EOG8003Z4	62	72
EOG8003Z5	7	12
EOG8003Z6	37	41
EOG8003Z7	20	48
EOG8003Z8	75	96
EOG8003Z9	2	2
EOG8003ZB	4	4
EOG8003ZC	3	3
EOG8003ZD	6	8
EOG8003ZF	76	227
EOG8003ZG	68	81
EOG8003ZH	65	78
EOG8003ZK	2	3
EOG8003ZM	5	7
EOG8003ZN	4	4
EOG8003ZP	74	79
EOG8003ZQ	5	5
EOG8003ZR	72	76
EOG8003ZS	13	14
EOG8003ZT	10	25
EOG8003ZV	4	5
EOG8003ZW	12	16
EOG8003ZX	73	83
EOG8003ZZ	3	3
EOG800400	73	92
EOG800401	74	99
EOG800402	2	2
EOG800403	74	84
EOG800404	73	79
EOG800405	44	54
EOG800406	5	5
EOG800407	5	8
EOG800408	4	4
EOG80040B	48	57
EOG80040C	4	4
EOG80040D	3	3
EOG80040F	2	2
EOG80040G	6	8
EOG80040H	9	16
EOG80040J	11	13
EOG80040K	6	6
EOG80040M	6	19
EOG80040N	2	2
EOG80040P	16	17
EOG80040Q	72	78
EOG80040R	3	3
EOG80040S	18	22
EOG80040T	5	6
EOG80040V	5	5
EOG80040W	3	4
EOG80040X	14	18
EOG80040Z	6	6
EOG800410	6	10
EOG800411	61	61
EOG800413	4	5
EOG800415	2	3
EOG800419	25	29
EOG80041B	12	12
EOG80041C	21	24
EOG80041D	2	2
EOG80041G	3	3
EOG80041H	3	3
EOG80041J	7	12
EOG80041K	16	16
EOG80041M	14	14
EOG80041N	4	4
EOG80041P	6	6
EOG80041Q	2	2
EOG80041S	9	17
EOG80041T	7	7
EOG80041V	16	16
EOG80041W	3	3
EOG80041X	6	6
EOG80041Z	10	10
EOG800420	3	3
EOG800421	9	9
EOG800423	44	46
EOG800424	4	4
EOG800425	6	6
EOG800426	4	4
EOG800427	5	14
EOG800428	4	4
EOG800429	4	4
EOG80042B	6	6
EOG80042C	6	6
EOG80042F	2	2
EOG80042G	8	17
EOG80042H	9	9
EOG80042J	7	7
EOG80042K	6	6
EOG80042N	3	4
EOG80042P	2	2
EOG80042R	3	9
EOG80042S	3	4
EOG80042T	2	2
EOG80042V	4	4
EOG80042X	6	6
EOG80042Z	2	2
EOG800430	2	2
EOG800434	1	15
EOG800435	3	3
EOG800437	2	2
EOG800438	3	3
EOG800439	2	2
EOG80043B	2	2
EOG80043H	4	4
EOG80043J	2	2
EOG80043K	1	2
EOG80043M	3	3
EOG80043N	2	2
EOG80043R	2	2
EOG80043S	3	6
EOG80043T	2	2
EOG80043V	4	4
EOG80043W	2	2
EOG800440	4	4
EOG800442	2	2
EOG800443	2	2
EOG800444	2	2
EOG800445	3	3
EOG800446	4	8
EOG800447	3	5
EOG800448	2	2
EOG800449	2	3
EOG80044B	2	2
EOG80305Z	52	68
EOG803060	3	3
EOG803061	75	107
EOG803062	72	81
EOG803063	12	13
EOG803064	75	105
EOG803065	69	74
EOG803066	3	3
EOG803067	6	6
EOG803068	25	25
EOG803069	68	71
EOG80306B	70	73
EOG80306C	4	4
EOG80306D	5	5
EOG80306F	71	81
EOG80306G	74	79
EOG80306H	37	43
EOG80306J	71	77
EOG80306K	6	6
EOG80306M	8	9
EOG80306N	7	11
EOG80306P	4	4
EOG80306Q	16	21
EOG80306R	2	2
EOG80306S	29	307
EOG80306T	37	66
EOG80306V	76	666
EOG80306W	59	65
EOG80306X	3	4
EOG80306Z	10	11
EOG803070	11	13
EOG803071	36	42
EOG803072	3	3
EOG803073	73	98
EOG803075	19	19
EOG803077	72	79
EOG803078	3	3
EOG80307C	6	7
EOG80307D	70	79
EOG80307F	3	5
EOG80307G	6	6
EOG80307H	68	81
EOG80307J	4	4
EOG80307K	10	18
EOG80307M	13	28
EOG80307N	14	15
EOG80307P	4	5
EOG80307Q	9	14
EOG80307R	28	29
EOG80307T	3	3
EOG80307V	6	15
EOG80307W	13	13
EOG80307X	27	27
EOG80307Z	7	8
EOG803080	18	19
EOG803081	66	91
EOG803082	13	19
EOG803083	2	2
EOG803084	3	3
EOG803085	6	11
EOG803086	63	71
EOG803087	13	21
EOG803088	12	12
EOG80308C	62	64
EOG80308D	8	18
EOG80308F	4	4
EOG80308G	71	78
EOG80308H	7	7
EOG80308J	3	3
EOG80308K	10	10
EOG80308M	68	99
EOG80308N	4	4
EOG80308Q	9	9
EOG80308S	5	5
EOG80308T	73	111
EOG80308W	4	4
EOG80308X	7	10
EOG80308Z	8	8
EOG803090	2	2
EOG803092	4	4
EOG803093	2	2
EOG803094	5	7
EOG803095	8	8
EOG803097	3	3
EOG803098	10	12
EOG803099	10	10
EOG80309B	4	4
EOG80309C	13	24
EOG80309D	6	10
EOG80309F	3	4
EOG80309G	35	35
EOG80309H	3	3
EOG80309J	2	2
EOG80309M	3	3
EOG80309N	4	10
EOG80309P	3	3
EOG80309R	3	3
EOG80309T	2	2
EOG80309V	2	2
EOG80309W	2	3
EOG80309X	2	2
EOG80309Z	5	8
EOG8030B0	2	2
EOG8030B1	3	3
EOG8030B2	4	16
EOG8030B5	5	5
EOG8030B6	2	2
EOG8030B7	1	2
EOG8030B8	4	4
EOG8030BB	3	3
EOG8030BD	2	2
EOG8030BH	2	2
EOG8030BK	2	2
EOG8030BM	3	5
EOG8030BN	2	2
EOG8030BP	2	2
EOG8030BS	4	5
EOG8030BV	3	3
EOG8030BX	2	2
EOG8030BZ	2	2
EOG8030C0	4	5
EOG8030C2	3	4
EOG8030C3	2	2
EOG8030C4	3	3
EOG8030C5	2	2
EOG8030C6	2	2
EOG8030C7	1	2
EOG8030C8	2	2
EOG8030C9	3	5
EOG805VDW	69	183
EOG805VDX	74	196
EOG805VDZ	5	6
EOG805VF0	69	265
EOG805VF1	75	104
EOG805VF2	74	98
EOG805VF3	39	119
EOG805VF4	63	91
EOG805VF5	14	20
EOG805VF6	73	86
EOG805VF7	5	6
EOG805VF8	6	11
EOG805VF9	4	5
EOG805VFB	9	9
EOG805VFC	76	130
EOG805VFD	5	5
EOG805VFF	5	6
EOG805VFG	75	81
EOG805VFH	2	2
EOG805VFJ	31	31
EOG805VFK	75	82
EOG805VFM	5	5
EOG805VFN	69	82
EOG805VFP	8	8
EOG805VFQ	12	15
EOG805VFR	76	92
EOG805VFS	66	585
EOG805VFV	25	25
EOG805VFW	4	4
EOG805VFX	3	4
EOG805VFZ	44	49
EOG805VG0	5	5
EOG805VG1	49	51
EOG805VG2	2	2
EOG805VG3	13	15
EOG805VG4	7	9
EOG805VG5	74	100
EOG805VG6	17	22
EOG805VG7	76	1922
EOG805VG8	2	2
EOG805VG9	62	70
EOG805VGB	2	2
EOG805VGC	6	11
EOG805VGD	4	4
EOG805VGF	51	56
EOG805VGG	4	4
EOG805VGH	16	18
EOG805VGK	4	4
EOG805VGM	5	8
EOG805VGN	6	7
EOG805VGP	9	9
EOG805VGQ	7	7
EOG805VGR	5	5
EOG805VGS	6	7
EOG805VGT	70	191
EOG805VGV	61	62
EOG805VGX	71	80
EOG805VGZ	11	14
EOG805VH0	17	17
EOG805VH1	32	33
EOG805VH2	8	12
EOG805VH3	2	2
EOG805VH4	3	3
EOG805VH5	6	6
EOG805VH6	8	8
EOG805VH9	16	16
EOG805VHB	10	35
EOG805VHC	12	12
EOG805VHD	6	6
EOG805VHF	60	63
EOG805VHG	4	4
EOG805VHJ	4	4
EOG805VHK	6	6
EOG805VHM	3	3
EOG805VHN	5	5
EOG805VHP	24	24
EOG805VHQ	5	5
EOG805VHS	3	3
EOG805VHT	44	44
EOG805VHW	52	54
EOG805VHX	4	4
EOG805VHZ	29	31
EOG805VJ0	3	3
EOG805VJ1	4	4
EOG805VJ2	8	8
EOG805VJ3	5	5
EOG805VJ4	4	4
EOG805VJ6	5	7
EOG805VJ7	2	2
EOG805VJ8	7	7
EOG805VJ9	6	6
EOG805VJC	5	5
EOG805VJD	13	18
EOG805VJF	8	8
EOG805VJG	5	5
EOG805VJH	3	3
EOG805VJJ	5	10
EOG805VJK	2	2
EOG805VJN	2	2
EOG805VJP	2	4
EOG805VJQ	4	4
EOG805VJR	4	5
EOG805VJS	2	2
EOG805VJT	2	2
EOG805VJV	3	5
EOG805VJW	4	6
EOG805VJX	6	7
EOG805VJZ	2	2
EOG805VK1	2	2
EOG805VK3	2	2
EOG805VK4	7	7
EOG805VK5	3	3
EOG805VK6	3	3
EOG805VK7	2	2
EOG805VK8	2	2
EOG805VKC	2	2
EOG805VKD	3	3
EOG805VKF	3	3
EOG805VKG	3	3
EOG805VKK	2	4
EOG805VKM	2	2
EOG805VKN	3	3
EOG805VKP	2	2
EOG805VKQ	3	4
EOG805VKS	3	4
EOG805VKT	2	3
EOG805VKV	3	3
EOG805VKW	2	2
EOG805VKX	4	4
EOG805VKZ	1	2
EOG805VM0	2	4
EOG805VM1	3	3
EOG805VM2	3	4
EOG805VM3	2	5
EOG805VM4	5	5
EOG805VM5	4	7
EOG808QNR	52	58
EOG808QNS	68	93
EOG808QNT	73	87
EOG808QNV	72	93
EOG808QNW	5	7
EOG808QNX	38	51
EOG808QNZ	13	15
EOG808QP0	5	8
EOG808QP1	21	21
EOG808QP2	65	81
EOG808QP3	23	39
EOG808QP4	7	7
EOG808QP5	66	99
EOG808QP6	26	30
EOG808QP7	2	2
EOG808QP8	13	17
EOG808QP9	10	16
EOG808QPB	27	27
EOG808QPC	4	4
EOG808QPD	3	3
EOG808QPF	21	27
EOG808QPG	5	5
EOG808QPH	8	16
EOG808QPJ	4	4
EOG808QPK	72	80
EOG808QPM	66	111
EOG808QPN	61	70
EOG808QPP	52	100
EOG808QPQ	70	76
EOG808QPR	75	116
EOG808QPS	4	4
EOG808QPT	67	68
EOG808QPV	73	76
EOG808QPW	14	16
EOG808QPX	8	8
EOG808QQ0	75	147
EOG808QQ1	15	15
EOG808QQ2	72	98
EOG808QQ3	73	85
EOG808QQ4	6	6
EOG808QQ5	5	6
EOG808QQ6	6	7
EOG808QQ7	4	4
EOG808QQ8	72	74
EOG808QQ9	2	2
EOG808QQB	11	12
EOG808QQC	17	18
EOG808QQD	3	3
EOG808QQF	10	10
EOG808QQG	12	18
EOG808QQH	12	27
EOG808QQJ	65	70
EOG808QQK	4	4
EOG808QQM	30	37
EOG808QQN	7	7
EOG808QQP	2	2
EOG808QQQ	12	12
EOG808QQR	57	63
EOG808QQS	32	305
EOG808QQT	8	8
EOG808QQV	2	3
EOG808QQW	59	60
EOG808QQX	15	22
EOG808QQZ	13	14
EOG808QR0	33	52
EOG808QR1	11	14
EOG808QR2	3	3
EOG808QR3	52	53
EOG808QR4	2	2
EOG808QR5	7	7
EOG808QR6	8	8
EOG808QR7	17	31
EOG808QR9	4	4
EOG808QRB	4	4
EOG808QRC	68	68
EOG808QRD	20	32
EOG808QRF	53	55
EOG808QRG	16	16
EOG808QRH	4	4
EOG808QRJ	4	4
EOG808QRK	6	6
EOG808QRQ	3	3
EOG808QRR	58	59
EOG808QRS	5	5
EOG808QRT	8	10
EOG808QRV	6	17
EOG808QRW	5	5
EOG808QRX	4	4
EOG808QRZ	4	4
EOG808QS0	3	3
EOG808QS1	5	6
EOG808QS2	3	3
EOG808QS3	9	9
EOG808QS4	7	7
EOG808QS5	2	2
EOG808QS6	4	4
EOG808QS7	8	11
EOG808QS8	18	22
EOG808QSB	30	31
EOG808QSC	7	7
EOG808QSD	8	17
EOG808QSH	7	8
EOG808QSJ	3	5
EOG808QSM	2	2
EOG808QSN	4	10
EOG808QSP	2	2
EOG808QSQ	2	2
EOG808QSV	2	2
EOG808QSW	4	6
EOG808QSX	2	3
EOG808QT0	2	2
EOG808QT1	3	3
EOG808QT2	3	3
EOG808QT3	2	2
EOG808QT5	2	2
EOG808QT6	4	5
EOG808QT7	2	2
EOG808QT8	2	3
EOG808QT9	6	18
EOG808QTB	2	3
EOG808QTC	2	2
EOG808QTD	2	2
EOG808QTF	2	2
EOG808QTG	3	3
EOG808QTK	2	2
EOG808QTM	3	3
EOG808QTN	3	4
EOG808QTR	2	2
EOG808QTV	2	2
EOG808QTW	2	2
EOG808QTX	2	2
EOG808QTZ	2	2
EOG808QV0	2	2
EOG808QV1	2	2
EOG808QV2	3	3
EOG80CKWR	76	191
EOG80CKWS	74	86
EOG80CKWT	7	9
EOG80CKWV	74	95
EOG80CKWW	75	84
EOG80CKWX	72	86
EOG80CKWZ	76	107
EOG80CKX0	4	6
EOG80CKX1	5	6
EOG80CKX2	66	71
